root_id,x_nm,y_nm,z_nm
720575941501321355,413948,174200,123705
720575941639537525,563312,146920,97785
720575941555127297,412832,168196,175230
720575941533696643,421380,145560,148725
720575941442667099,367248,205488,117720
720575941476024362,429472,821740,93735
720575941478187841,424760,811292,119385
720575941474714154,310104,135208,172575
720575941474648123,296468,112088,96480
720575941443322575,611220,644336,223920
720575941496864967,589520,102108,77580
720575941560042734,597952,69196,88200
720575941525308582,389580,877344,207135
720575941481071802,419180,732756,138240
720575941496144071,325496,146476,91080
720575941605262326,382300,637520,214200
720575941628133433,330328,145728,99225
720575941479236320,478444,236708,80685
720575941432181496,283844,124856,183735
720575941639734559,669456,126076,134910
720575941476746526,668936,135956,161055
720575941556831233,366456,125728,141660
720575941643797624,514468,669308,192060
720575941514363482,595116,78336,83700
720575941533106405,585220,198768,127800
720575941590844158,376776,113532,81630
720575941540054165,672616,127828,139365
720575941456823021,361528,112588,125910
720575941554274843,677696,135032,163530
720575941613453532,427972,923428,170235
720575941670535857,594752,172228,119835
720575941590843788,298612,114844,164070
720575941462786704,683824,120332,134145
720575941646877128,661812,136528,120105
720575941595496997,307640,162792,205560
720575941569414132,345560,147168,103680
720575941527666946,599652,153960,220770
720575941450924366,603036,71708,87660
720575941477269569,414428,70624,87885
720575941432443785,559532,81896,77310
720575941589074231,518348,69964,141975
720575941444502442,592240,67248,88245
720575941574853519,578264,83052,81405
720575941590123063,584836,78716,78660
720575941644387272,583880,78580,78615
720575941651989525,462968,167512,187785
720575941412849007,564224,151656,107010
720575941564958050,560588,75028,89145
720575941472158583,605124,92032,74160
720575941400855418,400980,137624,63855
720575941440438463,497192,218896,63810
720575941441749199,409492,82776,84960
720575941578916341,477368,93060,108450
720575941482185667,551716,58484,129645
720575941594711077,592272,77800,81000
720575941509578846,583036,151852,69120
720575941394039300,595000,83788,70515
720575941538677731,396948,119116,77805
720575941440438495,399560,119636,79155
720575941653823985,534564,65868,125190
720575941569479982,590792,70384,78750
720575941529305272,391640,99004,119160
720575941616730837,599024,71492,86895
720575941410161711,404368,182304,78300
720575941544706077,391680,167932,71910
720575941619811455,596584,82596,78705
720575941561812339,666168,136844,109800
720575941472158731,401780,168096,208755
720575941663981948,558208,172480,244935
720575941393712022,736640,73472,171810
720575941478318641,533040,80808,101205
720575941413568657,528268,112728,94950
720575941520261336,667084,154096,174240
720575941536776938,580924,78232,131400
720575941478515521,703744,91456,117630
720575941527405849,669608,152012,174735
720575941536580634,424616,188812,68895
720575941658936144,400128,145872,162630
720575941561548845,410784,93984,81225
720575941599953088,415152,51348,131895
720575941542740060,604112,188648,159570
720575941592548236,584228,65364,91035
720575941487494285,637136,166164,107235
720575941514626257,407088,153328,129870
720575941509514078,402364,73032,82935
720575941511872528,484088,79040,142335
720575941478581300,549424,66032,156015
720575941478581044,539000,103012,77715
720575941528125796,397772,130152,77940
720575941644779720,439532,107104,127485
720575941535466433,163648,191600,59220
720575941654217457,717280,226236,123975
720575941559845156,563412,171324,210015
720575941552833563,588124,138704,180585
720575941478973761,389460,198576,201060
720575941491033292,336216,174176,227970
720575941627281772,152528,193084,64620
720575941490639305,597548,67776,89100
720575941513118201,496168,595276,193590
720575941533368554,453616,908808,285480
720575941446729748,492300,882504,246600
720575941561419053,391640,977256,261945
720575941623284332,418040,982072,254295
720575941655856152,501684,745036,190035
720575941542413660,576148,712488,251775
720575941432771470,585524,608604,159345
720575941502698475,484816,850496,276615
720575941600543785,495672,785008,227790
720575941665489139,445472,596284,98685
720575941560631464,528536,620272,209475
720575941689803227,577164,643364,119160
720575941723161402,478056,694832,223875
720575941514625539,607236,590268,116190
720575941556372516,495860,783372,246195
720575941498438779,404992,932032,166500
720575941690130584,321736,153552,236340
720575941503419115,367600,173716,202635
720575941527535782,355288,184300,226170
720575941557552420,402088,182368,223695
720575941661294648,444708,641760,131265
720575941523079243,535040,766692,151380
720575941609390182,547760,760664,217980
720575941519147703,382988,176160,200070
720575941688230296,607388,605796,154215
720575941501714571,355240,179640,221310
720575941499093473,431936,147840,253170
720575941571838365,570124,735856,219015
