root_id,x_nm,y_nm,z_nm
720575941500271841,291184,100700,94275
720575941646264225,349028,150328,238320
720575941564148992,393388,144024,220905
720575941691808987,450732,217800,141525
720575941616284569,390236,164684,96660
720575941590243140,398800,108976,190485
720575941409516718,470280,83636,222750
720575941559306355,368672,932904,224820
720575941441900123,359252,145208,191475
720575941462024592,129152,139628,158490
720575941601919222,528272,215344,105075
720575941476606257,467240,140796,196380
720575941508283927,452704,127408,89010
720575941553413604,427584,202240,220140
720575941538591976,444620,128548,176940
720575941536746984,421048,182168,194400
720575941564038503,401676,631760,211095
720575941486723906,418820,178676,178245
720575941549178760,437900,811280,105165
720575941593993256,430072,216408,177255
720575941659687960,267392,81408,195390
720575941440475871,315040,139684,86220
720575941476587316,650096,592604,250560
720575941565586734,670020,573956,249750
720575941505711410,670024,578244,264375
720575941458363632,465432,143420,196785
720575941415417745,377712,159524,132795
720575941687808239,614388,87472,145350
720575941598614172,581104,98348,200745
720575941639848309,408956,925520,198630
720575941545226684,745664,56452,119295
720575941442594907,451064,98072,122445
720575941613380316,640244,185280,193050
720575941476138292,500112,637040,107820
720575941553055771,429944,794256,223875
720575941496177225,372024,947376,257085
720575941592043660,611024,648424,279045
720575941491529166,551328,144452,28575
720575941494130046,435056,631252,52290
720575941599114688,420124,153768,4230
720575941535110834,436460,215820,15975
720575941587845086,571712,819992,174330
720575941732907819,435360,630600,82215
720575941454005555,397816,961688,300330
720575941611489965,437008,219788,19980
720575941612454364,644380,592996,116730
720575941604668089,338012,1012552,291555
720575941588524428,607820,650276,279540
720575941612881641,397576,134608,64125
720575941554613895,401372,121036,79200
720575941656137552,609540,651720,278775
720575941432126990,536064,754760,151335
720575941540463765,360640,230976,142830
720575941528686502,338392,152696,143865
720575941533064421,723776,91264,203940
720575941688917743,531328,194560,204615
720575941544317788,913512,103292,27585
720575941553882942,860868,82584,120060
720575941573702558,851280,130240,27675
720575941492980199,200120,145988,196920
720575941566317410,704288,120864,103635
720575941561644403,109228,136884,46575
720575941551306356,459808,171392,147870
720575941516361721,582528,61360,151785
720575941498402377,153476,155192,153945
720575941527359654,145972,168540,28485
720575941475768928,133140,198424,108810
720575941596523478,152412,183832,84735
720575941560969517,141312,175292,128700
720575941520883127,812340,162996,16110
720575941634153888,869096,150072,74160
720575941535793345,113344,202364,97335
720575941482271055,152720,162108,152595
720575941408304687,810908,196648,71460
720575941538503912,732460,156892,133965
720575941489543888,699072,189568,184455
720575941528171876,758628,95928,86265
720575941454490281,833096,129980,137790
720575941581310841,678588,212768,62955
720575941435623456,138332,182440,142560
720575941508127361,673900,214800,62550
720575941599557532,851684,80948,69345
720575941471958647,115140,149576,94680
720575941606590317,590380,201028,197910
720575941561364462,131928,134620,164970
720575941532204261,111584,201124,76410
720575941573815561,382792,194892,199035
720575941644548216,400448,153344,256140
720575941552650375,557864,662904,166500
720575941464904982,565732,772276,228780
720575941534853720,462268,729284,162540
720575941511491148,437668,741020,156375
720575941652065553,595252,204576,212805
720575941514101395,427736,882980,173520
720575941518344375,565768,763356,195750
720575941626858278,585784,764824,161955
720575941488543694,469240,749144,127215
720575941499483531,442932,625248,90450
720575941506855262,536700,745304,164655
720575941534850570,404836,188044,209790
720575941450101319,489920,582548,134730
720575941394472342,460820,574164,93240
720575941521454923,460292,694428,215775
720575941574252283,579056,723764,215145
720575941558287908,481168,892528,223110
720575941425229652,494032,738968,155745
720575941438989147,450720,795752,243360
720575941509908609,480928,861700,208845
720575941428385199,386952,869284,240120
720575941506226210,368248,185184,201465
720575941505196709,581724,122404,180135
720575941625218442,587272,179612,204390
720575941671111335,614520,196808,205155
720575941526429060,521004,628080,126630
720575941649131285,441104,754944,143415
720575941642267167,861084,177964,53910
720575941627174811,732156,91124,126090
720575941482583715,725408,125680,86625
720575941462331332,773072,138384,184905
720575941592038910,816800,156740,133560
720575941440695743,219268,167756,27000
720575941539298787,782724,79516,93015
720575941458912752,685188,181788,145125
720575941639204639,170376,106364,89910
720575941657032404,668972,223752,123165
720575941576328861,662676,205832,145125
720575941554209690,174188,130296,81450
720575941503238635,817448,129900,178020
720575941466379606,554316,191520,227745
720575941411137451,593004,192684,194535
720575941403036195,716728,193476,71235
720575941552009215,420520,179628,232155
720575941492710606,761156,111360,64710
720575941557803172,728136,200260,100575
720575941541960573,851484,84544,92655
720575941669953523,865908,81752,71595
720575941514517969,859020,186088,45090
720575941561447150,838440,141856,34560
720575941596427047,695816,223964,110205
720575941600400832,740072,204160,59130
720575941569870382,883856,100380,75015
720575941438478047,138632,158972,76680
720575941395155350,834900,127384,174015
720575941440635455,744228,183036,94635
720575941484250054,751140,152200,179865
720575941472821623,812284,107964,198090
720575941591515703,154652,132560,116910
720575941433114327,796072,159476,111330
720575941446351274,795672,144308,159840
720575941602277929,774720,143956,107280
720575941626404042,752528,89004,124245
720575941645923784,808588,119572,180900
720575941433884887,725044,141520,90585
720575941613428710,250780,82432,149490
720575941440116268,185032,190992,33660
720575941530542468,753500,165740,50535
720575941596211158,780640,186644,72225
720575941575673851,747436,146252,186300
720575941485211066,743720,117552,203220
720575941411957931,129196,129132,155655
720575941592561804,126920,96824,164520
720575941442439359,192060,119452,198675
720575941549644660,445840,112544,175275
720575941498193889,516852,246076,105525
720575941460659782,557996,787892,161820
720575941497991803,588200,836548,163575
720575941613314989,593756,170052,119205
720575941604566176,177800,191172,28845
720575941477437236,656944,116208,113085
720575941507452254,439088,631004,51390
720575941495158910,600888,127608,176220
720575941491061708,572776,826124,164520
720575941437141778,435248,219664,20115
720575941489097936,328564,1023812,307305
720575941471526877,171136,181952,177795
720575941654682836,593324,93536,70425
720575941526998694,442604,231760,48150
720575941452481658,400352,136656,64260
720575941573563144,611736,645692,123840
720575941501788259,524556,199948,18855
720575941579391825,526932,212304,23580
720575941548415777,580656,825828,161100
720575941593531584,435060,214484,14850
720575941531553765,449700,990576,233865
720575941530110155,201768,162568,184140
720575941640631327,385544,138712,198945
720575941537652456,652068,130608,242460
720575941594463013,472308,370000,115065
720575941441894351,543768,656816,192915
720575941552997950,716736,84352,141975
720575941431101615,505184,642472,112545
720575941478202932,477248,49408,204165
720575941443628751,96256,119916,153405
720575941524371787,350272,171408,146520
720575941608936813,178752,152368,103320
720575941460305392,809424,129616,181935
720575941612386378,491136,952452,218070
720575941566836631,176812,132664,157995
720575941563591058,162076,125576,143460
720575941537181194,128740,176304,146880
720575941655238873,664960,116712,225810
720575941628853305,655236,178352,79605
720575941563157805,776892,165464,106875
