root_id,is_seed,cell_class,cell_type,nerve,region
720575941526749442,False,lateral_horn_output_neuron,LHAD2c2,,AVLP
720575941527666946,False,,SLP080,,PLP
720575941485592838,False,,IN09A058,,T3_METANM
720575941562925319,False,kenyon_cell,KCg,,MB_CA
720575941566267655,False,,CL036,,ICL
720575941575639305,False,,PS175,,VES
720575941471043851,False,kenyon_cell,KC,,MB_CA
720575941688819980,False,antennal_lobe_projection_neuron,VC3_adPN,,AL
720575941463900429,True,olfactory_receptor_neuron,ORN_DA1,right_antennal_nerve,AL
720575941463638285,False,,IN23B008,,T2_MVAC
720575941461082381,False,,IN00A054,,INTTCT
720575941510824208,True,olfactory_receptor_neuron,ORN_DC1,left_antennal_nerve,AL
720575941464686861,False,ventral_nerve_cord_centripetal,IN23B018,,T2_MESONM
720575941649039637,False,ascending_neuron,AN07B052,,INTTCT
720575941640651039,False,,PVLP094,,PVLP
720575941436178720,False,,CB0796,,AVLP
720575941549621537,False,,CL356,,PLP
720575941559845156,False,lateral_horn_output_neuron,LHPV12a1,,LH
720575941594841383,False,,PVLP082b,,AVLP
720575941600149801,False,kenyon_cell,KC,,MB_CA
720575941505909042,False,,CB0058,,SPS
720575941474779444,False,,IN14B012,,T2_MESONM
720575941589074231,True,olfactory_receptor_neuron,ORN_DM6,left_antennal_nerve,AL
720575941589205303,False,kenyon_cell,KCg-m,,MB_CA
720575941662474552,False,,PS157,ocellar_nerve,PLP
720575941587304759,False,single_leg_neuromere,IN13B093,,T2_MESONM
720575941436703039,False,,IN03A090,,T2_MESONM
720575941478973761,False,kenyon_cell,KCab,,MB_CA
720575941508661573,False,single_leg_neuromere,IN19A016,,T1_PRONM
720575941451841863,False,,IN02A021,,INTTCT
720575941572886856,True,olfactory_receptor_neuron,ORN_DC2,right_antennal_nerve,AL
720575941450924366,True,olfactory_receptor_neuron,ORN_DL1,left_antennal_nerve,AL
720575941659328848,False,,IN21A072,,T3_METANM
720575941642158418,False,single_leg_neuromere,IN03A088,,T3_METANM
720575941532385624,False,,IN03B066,,HTCT
720575941449548125,True,olfactory_receptor_neuron,ORN_DC3,right_antennal_nerve,NO_CONS
720575941429231969,False,single_leg_neuromere,IN21A001,,T3_METANM
720575941528125796,True,chordotonal_organ_neuron,JO-E,right_antennal_nerve,NO_CONS
720575941645042021,False,lobula_columnar,LC12,,LO
720575941577343336,False,,ATL030,,IPS
720575941478580586,False,antennal_lobe_centrifugal_neuron,AL-MBDL1,,CRE
720575941594448235,False,antennal_lobe_projection_neuron,M_vPNml52,,AL
720575941625971052,False,,PS078,,IPS
720575941627281772,False,serpentine_medulla,Sm07,,ME
720575941560435059,False,descending_neuron,DNge133,,GNG
720575941639340405,False,,IN19B021,,T3_METANM
720575941690130806,True,olfactory_receptor_neuron,ORN_VA1v,right_antennal_nerve,AL
720575941644059000,False,,CB1439,,IPS
720575941583307129,False,centrifugal_medulla,cM01b,,SPS
720575941580685689,False,ascending_neuron,AN19B042,,INTTCT
720575941663981948,False,kenyon_cell,KC,,MB_CA
720575941479563650,False,descending_neuron,DNxl084,,GNG
720575941590843788,False,,PLP065b,,PLP
720575941576950159,False,,SAD077,,AMMC
720575941539791253,True,chordotonal_organ_neuron,JO-E,right_antennal_nerve,AMMC
720575941688230296,False,,IN20A.22A040,,T1_PRONM
720575941692162456,False,descending_neuron,DNg02,,SPS
720575941623349659,False,single_leg_neuromere,IN04B037,,T2_MESONM
720575941571838365,False,single_leg_neuromere,IN21A003,,T2_MESONM
720575941457805727,False,lobula_plate_lobula_columnar,LPLC2,,LOP
720575941633245600,False,lateral_horn_local_neuron,LHAV4g1b,,LH
720575941556568484,False,,CB1055,,IPS
720575941450793385,False,,CB0757,,LAL
720575941517902252,True,chordotonal_organ_neuron,JO-F,right_antennal_nerve,AMMC
720575941613846957,False,proximal_medulla,Pm14,,ME
720575941493522864,False,kenyon_cell,KCab,,MB_CA
720575941667258801,False,,INXXX287,,ABDNM
720575941536645554,False,centrifugal_lobula,cL13,,IB
720575941449875893,False,descending_neuron,DNxl106,,GNG
720575941544116668,False,kenyon_cell,KCab,,MB_CA
720575941680234941,True,olfactory_receptor_neuron,ORN_VA2,left_antennal_nerve,AL
720575941605523902,False,descending_neuron,DNp44,,SCL
720575941599691200,False,descending_neuron,DNde005,,VES
720575941630296517,False,,IN04B102,,T2_MESONM
720575941645238728,False,,IN19A098,,T1_PRONM
720575941490639305,True,olfactory_receptor_neuron,ORN_VC3,left_antennal_nerve,AL
720575941646877128,False,,,,AVLP
720575941491950025,False,lobula_plate_intrinsic,LPi02,,LOP
720575941592154582,False,,IN03B061,,HTCT
720575941692424667,True,olfactory_receptor_neuron,ORN_DL2v,left_antennal_nerve,AL
720575941689803227,False,ventral_nerve_cord_centripetal,IN23B018,,T1_PRONM
720575941690065371,False,,IN06A055,,HTCT
720575941499093473,False,kenyon_cell,KCab,,MB_CA
720575941632459234,False,ascending_neuron,ANXXX027,,AMNP
720575941538873827,False,,,,AVLP
720575941612274150,True,olfactory_receptor_neuron,ORN_DA4m,left_antennal_nerve,AL
720575941537759720,False,kenyon_cell,KCg-m,,MB_CA
720575941537825256,False,kenyon_cell,KCab,,MB_CA
720575941503549931,False,descending_neuron,DNg71,,IPS
720575941504532971,False,transmedullary_y,TmY14,,LOP
720575941503746539,False,,AVLP393,,AVLP
720575941653823985,True,olfactory_receptor_neuron,ORN_VA7m,left_antennal_nerve,AL
720575941571248628,True,olfactory_receptor_neuron,ORN_DM2,left_antennal_nerve,AL
720575941578916341,True,olfactory_receptor_neuron,ORN_VM2,right_antennal_nerve,AL
720575941568889332,False,ascending_neuron,AN17B008,,T1_PRONM
720575941571510772,False,lobula_plate_tangential_cell,LPT57,,IPS
720575941513118201,False,,IN02A033,,NTCT
720575941512987129,False,,IN08B051,,INTTCT
720575941573739003,False,,CRE066,,CRE
720575941552374273,False,single_leg_neuromere,IN06B029,,T2_MESONM
720575941526749698,False,,CB2796,,LH
720575941514625539,False,,IN04B067,,T1_PRONM
720575941394039300,True,chordotonal_organ_neuron,JO-E,left_antennal_nerve,AMMC
720575941542412805,False,wing_motor_neuron,b3,left_anterior_dorsal_mesothoracic_nerve,WTCT
720575941573083656,False,ascending_neuron,AN08B026,,T1_PRONM
720575941576163849,True,olfactory_receptor_neuron,ORN,left_antennal_nerve,AL
720575941574001161,False,,CB3544,,AVLP
720575941472485899,False,,AVLP283,,AVLP
720575941439652370,False,,LC14,,LO
720575941615485459,False,ventral_nerve_cord_serially_convergent,INXXX426,,ABDNM
720575941465080342,False,,IN13A051,,T1_PRONM
720575941554274843,False,,PVLP101c,,AVLP
720575941550801441,False,ascending_neuron,AN12B011,,T1_PRONM
720575941595496997,False,lateral_horn_output_neuron,LHAV3a1_c,,LH
720575941598642729,False,abdomen_motor_neuron,MNad02,abdominal_nerve_trunk,ABDNM
720575941474714154,False,,CB1804,,LH
720575941732729387,False,,CB1298,,PLP
720575941478318641,True,olfactory_receptor_neuron,ORN_VA2,left_antennal_nerve,AL
720575941453873715,False,antennal_lobe_local_neuron,l2LN22,,AL
720575941590123063,True,olfactory_receptor_neuron,ORN_V,left_antennal_nerve,AL
720575941437948479,False,single_leg_neuromere,IN12B039,,T3_METANM
720575941450007111,False,,IN00A020,,T3_METANM
720575941498634825,False,kenyon_cell,KCg-m,,MB_CA
720575941515346508,False,antennal_lobe_projection_neuron,VC3_adPN,,AL
720575941527011917,False,antennal_lobe_projection_neuron,VP1m+VP5_ilPN,,AL
720575941526291021,False,,AVLP121,,ICL
720575941658018384,False,,IN10B014,,T1_PRONM
720575941514363482,True,thermosensory_receptor_neuron,TRN_VP3,left_antennal_nerve,AL
720575941442667099,False,,CB1881,,WED
720575941526880868,False,kenyon_cell,KCg-m,,MB_CA
720575941566202471,False,ventral_nerve_cord_centripetal,IN19A069,,INTTCT
720575941577867880,True,olfactory_receptor_neuron,ORN_DA1,left_antennal_nerve,NO_CONS
720575941594448491,False,,CB0732,,PVLP
720575941623284332,False,,INXXX267,,ABDNM
720575941404459632,False,kenyon_cell,KCab,,MB_CA
720575941594055281,False,lobula_columnar,LC17,,LO
720575941561746035,True,olfactory_receptor_neuron,ORN_DM5,right_antennal_nerve,AL
720575941551719028,False,lobula_intrinsic,Li17,,LO
720575941497651835,False,,AVLP541a,,AVLP
